id,municipio,area_km2,populacao,densidade,risco_chuva
"2611606",Recife,218.843,1.488.920,6.803,alto
"2609600",Olinda,41.300,349.976,8.474,alto
"2607901",Jaboatao dos Guararapes,258.724,644.037,2.489,medio
"2610707",Paulista,96.932,342.167,3.529,medio
"2603454",Camaragibe,51.321,147.771,2.879,medio
"2613701",Sao Lourenco da Mata,263.687,111.249,421.90,medio
"2602902",Cabo de Santo Agostinho,445.386,203.440,456.77,medio
"2607208",Ipojuca,521.801,98.932,189.60,baixo
"2600054",Abreu e Lima,126.384,98.462,779.07,médio
"2601052",Aracoiaba,96.360,19.243,199.70,baixo
"2607752",Itapissuma,73.968,27.749,375.15,baixo
"2607604",Itamaraca,66.146,24.540,371.00,baixo
"2609402",Moreno,194.197,55.292,284.72,medio
"2606804",Igarassu,306.879,115.196,375.38,medio
