codigo,municipio,area_km2,populacao,densidade,risco_chuva
2611606,Recife,218843,1488920,6803,alto
2609600,Olinda,41300,349976,8474,alto
2607901,Jaboatao dos Guararapes,258724,644037,2489,medio
2610707,Paulista,96932,342167,3529,medio
2603454,Camaragibe,51321,147771,2879,medio
2613701,Sao Lourenco da Mata,263687,111249,42190,medio
2602902,Cabo de Santo Agostinho,445386,203440,45677,medio
2607208,Ipojuca,521801,98932,189.60,baixo
2600054,Abreu e Lima,126384,98462,77907,medio
2601052,Aracoiaba,96360,19243,19970,baixo
2607752,Itapissuma,73968,27749,37515,baixo
2607604,Itamaraca,66146,24540,37100,baixo
2609402,Moreno,194197,55292,28472,medio
2606804,Igarassu,306879,115196,37538,medio
